Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT,TC
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,200,15.68
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,300,17.4
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,400,18.82
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,500,20.22
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,600,21.89
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,700,24.29
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,800,25.62
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,900,28.53
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,1000,30.7
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,25,11.969
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,100,13.01
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,200,15.13
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,300,17.44
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,400,19.37
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,500,21.15
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,600,24.16
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,700,28.57
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,800,29.73
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,900,31.31
0.46916,0,0.19265,0.24327,0.05456,0,0,0.00635,0.01242,0.0148,0,0,0,0,0.0019,0,0.00484,0,0,0.00005,1000,36.99
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,25,11.121
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,100,12.055
0.58477,0,0.02152,0.28059,0.01662,0,0,0.00392,0.00586,0.03425,0,0,0,0,0.04966,0,0.00263,0.00018,0,0,200,13.908
